src_mac,dest_mac,eth_proto,src_ip,dst_ip,protocol,src_port,dst_port,packet
08:00:27:1E:36:4A,52:54:00:12:35:00,8,,,,,,
 , ,17,10.0.2.4,103.62.236.84,17, , , 
,,17,,,17,33615,53,b'\xa9\xaa\x01\x00\x00\x01\x00\x00\x00\x00\x00\x00\x04best\naliexpress\x03com\x00\x00\x01\x00\x01'
52:54:00:12:35:00,08:00:27:1E:36:4A,8,,,,,,
 , ,17,103.62.236.84,10.0.2.4,17, , , 
,,17,,,17,53,33615,"b'\xa9\xaa\x81\x80\x00\x01\x00\x06\x00\x00\x00\x00\x04best\naliexpress\x03com\x00\x00\x01\x00\x01\xc0\x0c\x00\x05\x00\x01\x00\x00\x01,\x00(\x04best\naliexpress\x03com\x03gds\nalibabadns\x03com\x00\xc01\x00\x05\x00\x01\x00\x00\x01,\x00\t\x06global\xc0\x11\xc0e\x00\x05\x00\x01\x00\x00\x00\xe7\x00\t\x06global\xc06\xc0z\x00\x05\x00\x01\x00\x00\x00\xb7\x00\x1f\x06sg1111\x06alicdn\x03com\x07edgekey\x03net\x00\xc0\x8f\x00\x05\x00\x01\x00\x00\x02F\x00\x18\x05e6520\x01a\nakamaiedge\x03net\x00\xc0\xba\x00\x01\x00\x01\x00\x00\x00\r\x00\x04\x17!\xf5G'"
08:00:27:1E:36:4A,52:54:00:12:35:00,8,,,,,,
 , ,6,10.0.2.4,23.33.245.71,6, , , 
,,6,43512,443,6,,,b''
52:54:00:12:35:00,08:00:27:1E:36:4A,8,,,,,,
 , ,6,23.33.245.71,10.0.2.4,6, , , 
,,6,443,43512,6,,,b'\x00\x00'
08:00:27:1E:36:4A,52:54:00:12:35:00,8,,,,,,
 , ,6,10.0.2.4,23.33.245.71,6, , , 
,,6,43512,443,6,,,b''
08:00:27:1E:36:4A,52:54:00:12:35:00,8,,,,,,
 , ,6,10.0.2.4,23.33.245.71,6, , , 
